i	j	k	mean1	mean2	variance1	variance2	correlation	probabilitySum	probabilitySimApprox	probabilityBlackApprox	probabilitySimLevy	probabilitySimJu	probabilitySimHo	probabilityBlackLevy	probabilityBlackJu	probabilityBlackHo	normalizedErrorSimApprox	normalizedErrorBlackApprox	normalizedErrorSimLevy	normalizedErrorSimJu	normalizedErrorSimHo	normalizedErrorBlackLevy	normalizedErrorBlackJu	normalizedErrorBlackHo
3	5	8	-4.6	-3.8	2.6	3.0	0.8	0.018922751707896025	0.018902507880590957	0.0188993564838022	0.019084689764351154	0.019041895985616418	0.0	0.019081466652111495	0.01903867287337676	0.0	0.0010703866953092659	0.001237118987405411	0.00852138687490319	0.006276590721043528	2.0	0.008352490910982077	0.006107313767035036	2.0
3	6	8	-4.6	-3.8	3.1	3.5999999999999996	0.8	0.02030428969930381	0.020301013131854333	0.020281413367596833	0.020528125331359004	0.020483405232789537	0.0	0.02050738159484158	0.020462661496272114	0.0	1.6138618461242077E-4	0.0011273098642281519	0.010963624458024694	0.008782822063562767	2.0	0.009952638012494519	0.00776961692369536	2.0
3	7	8	-4.6	-3.8	3.6	4.2	0.8	0.021493480013698336	0.021459593110948815	0.021472975753624425	0.02172508404361901	0.021680892865449906	0.0	0.021739750124506095	0.02169555894633699	0.0	0.0015778569626989723	9.544310652453424E-4	0.010717803100237917	0.008681671058716594	2.0	0.011392630623273005	0.009357880494893507	2.0
3	8	8	-4.6	-3.8	4.1	4.8	0.8	0.022537169760917724	0.02250455432685994	0.02251261163995056	0.02280862903435254	0.022766676786845227	0.0	0.022816372073624316	0.022774419826117005	0.0	0.001448232043436938	0.0010902659326418377	0.011972852200064403	0.010131900199049932	2.0	0.012312260582654083	0.010471937416522113	2.0
3	9	8	-4.6	-3.8	4.6	5.3999999999999995	0.8	0.023406746878208068	0.023399434086005887	0.02342781672654059	0.0237342553769111	0.023695615749860625	0.0	0.02376430027567355	0.023725660648623075	0.0	3.1247121860987904E-4	8.997563641389211E-4	0.013894846653052054	0.012265578859962217	2.0	0.015159866869144044	0.013532674741194075	2.0
4	0	8	-5.8	-4.4	0.1	0.0	0.8	3.805092034058513E-4	3.8189201639884923E-4	3.818838260906728E-4	3.9123608832120966E-4	3.737489681294164E-4	0.0	3.912276335647138E-4	3.737405133729205E-4	0.0	0.0036275204107153692	0.003606073591017223	0.027799029110635812	0.01792552081384727	2.0	0.027777422679309743	0.017948140734711366	2.0
4	1	8	-5.8	-4.4	0.6	0.6	0.8	0.004473365912561618	0.004470594465274253	0.004472007902898775	0.004476420736498853	0.004473831372020849	0.0	0.004477836611526165	0.0044752472470481605	0.0	6.197360386867226E-4	3.0362278667355255E-4	6.826584938883875E-4	1.0404586920934087E-4	2.0	9.989046616955895E-4	4.2047509552290313E-4	2.0
4	2	8	-5.8	-4.4	1.1	1.2	0.8	0.006141162464799919	0.006139366695099915	0.0061395883521326656	0.006159794824914657	0.006150530916126541	0.0	0.0061600208591902185	0.006150756950402103	0.0	2.924580328130826E-4	2.5635446736423854E-4	0.0030294162764579503	0.0015243548689815808	2.0	0.0030661106161259995	0.001561104539998434	2.0
4	3	8	-5.8	-4.4	1.6	1.7999999999999998	0.8	0.007337078052546204	0.007340462439651178	0.007339032907048646	0.007378520636700609	0.007363878038394729	0.0	0.007377057889880795	0.007362415291574915	0.0	4.611654257432933E-4	2.663995261175175E-4	0.005632470010844879	0.003646019440196828	2.0	0.005434207960429771	0.003447362223384996	2.0
4	4	8	-5.8	-4.4	2.1	2.4	0.8	0.008287437613768522	0.008282457020590774	0.008285021604643316	0.008338666198631758	0.008320818189113833	0.0	0.00834126221910693	0.008323414209589005	0.0	6.011617198120751E-4	2.91569174298708E-4	0.006162428124023673	0.00401975688976535	2.0	0.006473699793653848	0.004331697880766646	2.0
4	5	8	-5.8	-4.4	2.6	3.0	0.8	0.009056090139494037	0.009062694958603653	0.00906422482828736	0.009136453804170242	0.009117345252766897	0.0	0.009138092525988841	0.009118983974585496	0.0	7.290576132843459E-4	8.978529134605473E-4	0.008834791321660328	0.006741170499766342	2.0	0.009014132484266553	0.006920888981986347	2.0
4	6	8	-5.8	-4.4	3.1	3.5999999999999996	0.8	0.009722841859284586	0.009718683222991483	0.00972264936239165	0.009808693898445136	0.009789777859283012	0.0	0.00981286654691316	0.009793950507751037	0.0	4.2780967804767635E-4	1.9798614572564042E-5	0.008791120188956385	0.006860790705077134	2.0	0.009216424176357423	0.007286919605350247	2.0
4	7	8	-5.8	-4.4	3.6	4.2	0.8	0.01029513031611472	0.010292412633134265	0.010288481633947454	0.01039757160039797	0.010379809040792522	0.0	0.010393384285472625	0.010375621725867177	0.0	2.640123677852829E-4	6.460170531194608E-4	0.009901199437034559	0.008191436329365727	2.0	0.009498407328901767	0.007787951748342748	2.0
4	8	8	-5.8	-4.4	4.1	4.8	0.8	0.010776318238022328	0.010753007591009238	0.010780608802411449	0.010868245073294425	0.010852190327707543	0.0	0.01089834037414533	0.010882285628558449	0.0	0.0021654785847177492	3.9806827578655804E-4	0.008494219444384322	0.007015933572547275	2.0	0.011259428654115224	0.009785246656607325	2.0
4	9	8	-5.8	-4.4	4.6	5.3999999999999995	0.8	0.011235747338803354	0.011210183689990705	0.011212487623845213	0.011338312821829635	0.01132421663574851	0.0	0.011341128510328091	0.011327032324246965	0.0	0.0022777980365220932	0.0020722978886172903	0.009087021324160862	0.007843035303154763	2.0	0.009335319220333234	0.008091643565806097	2.0
5	0	8	-7.0	-5.0	0.1	0.0	0.8	1.145696513163242E-4	1.1501304307234637E-4	1.1503314153376871E-4	1.1790477700230592E-4	1.1192156218875388E-4	0.0	1.1792539814301254E-4	1.119421833294605E-4	0.0	0.003862588660724796	0.004037322122184423	0.028692408968186252	0.02338359256052066	2.0	0.02886725402964124	0.02319938815534727	2.0
5	1	8	-7.0	-5.0	0.6	0.6	0.8	0.002259425922162876	0.0022600504887919093	0.002259532328529535	0.002262235424435744	0.002260964773318518	0.0	0.0022617165218272667	0.0022604458707100408	0.0	2.7638893192122164E-4	4.709331697982371E-5	0.0012426858437691582	6.808487404331895E-4	2.0	0.0010132835639521819	4.513174682402516E-4	2.0
5	2	8	-7.0	-5.0	1.1	1.2	0.8	0.0031081737597453752	0.003110342425371606	0.0031095986701432654	0.0031179982193128013	0.003114059697259002	0.0	0.003117251252074755	0.0031133127300209556	0.0	6.974865262620078E-4	4.5833468945910295E-4	0.0031558587204050226	0.0018919050705180458	2.0	0.0029162642910787106	0.001652007212113514	2.0
5	3	8	-7.0	-5.0	1.6	1.7999999999999998	0.8	0.0037152580652789467	0.003717498317202229	0.0037183906662983674	0.0037315298215451174	0.0037256466772616005	0.0	0.0037324301120246796	0.0037265469677411627	0.0	6.028051527593474E-4	8.428165312987677E-4	0.004370140928805324	0.0027922980718355144	2.0	0.004611376399474853	0.0030339151354075757	2.0
5	4	8	-7.0	-5.0	2.1	2.4	0.8	0.004193685568637565	0.004198550739526124	0.004196976618739542	0.004219075005512317	0.0042121947552187	0.0	0.004217456940164306	0.004210576689870689	0.0	0.0011594456375892163	7.844553930268309E-4	0.006035934732950115	0.004403866309779614	2.0	0.005652352579180702	0.004019655911147677	2.0
5	5	8	-7.0	-5.0	2.6	3.0	0.8	0.004579026789931909	0.0045871864732475245	0.004590036919095862	0.004613700590560426	0.004606599230406396	0.0	0.004616594952715504	0.004609493592561473	0.0	0.0017803826032267906	0.0024015819964503106	0.007543746092611804	0.006003388427405468	2.0	0.008170880411350823	0.006631492636749591	2.0
5	6	8	-7.0	-5.0	3.1	3.5999999999999996	0.8	0.004916036981012041	0.004922750154000416	0.004921256854420466	0.004954816170520061	0.0049480283134019495	0.0	0.004953313426871833	0.004946525569753722	0.0	0.001364634257506212	0.0010612417389880334	0.007857312617805583	0.006486439705143699	2.0	0.007553981633890437	0.00618269107744489	2.0
5	7	8	-7.0	-5.0	3.6	4.2	0.8	0.005192573412922878	0.0052139635869185765	0.005205138066317107	0.005251065693312511	0.005244910224730353	0.0	0.00524201014359436	0.005235854675012202	0.0	0.004110911054469785	0.002416811318397418	0.011201513149704663	0.010028626367119658	2.0	0.009475554132796266	0.008300630109229495	2.0
5	8	8	-7.0	-5.0	4.1	4.8	0.8	0.005440634426377956	0.005445092385766223	0.005451393989841477	0.005485695510161531	0.005480326390699346	0.0	0.005492362602705424	0.00548699348324324	0.0	8.19046714141984E-4	0.0019756767155506864	0.008248164579559826	0.007268950962505561	2.0	0.009462762349585152	0.008484742937571434	2.0
5	9	8	-7.0	-5.0	4.6	5.3999999999999995	0.8	0.0056768284603830555	0.005667072734845661	0.005666942929847516	0.0057109479863803264	0.00570640485164135	0.0	0.0057112954406198044	0.005706752305880828	0.0	0.0017199948006418682	0.0017429001688191558	0.005992306954175994	0.005196483362429628	2.0	0.0060531445805070095	0.005257369559225931	2.0
6	0	8	-8.2	-5.6	0.1	0.0	0.8	3.450562572452357E-5	3.46463497996696E-5	3.464867762925216E-5	3.552632482630814E-5	3.3583271838041755E-5	0.0	3.55287133560981E-5	3.358566036783171E-5	0.0	0.004069994358926015	0.004137180125921422	0.029149526573409194	0.027092636817457185	2.0	0.029216742672384718	0.027021529757686392	2.0
6	1	8	-8.2	-5.6	0.6	0.6	0.8	0.0011829194576073521	0.0011826867233891202	0.0011828043126712647	0.0011834414603006237	0.0011829455684109697	0.0	0.001183559132438191	0.001183063240548537	0.0	1.967649730556027E-4	9.734436246024102E-5	4.4118603322190514E-4	2.207294442447772E-5	2.0	5.406132415731368E-4	1.2154183654598829E-4	2.0
6	2	8	-8.2	-5.6	1.1	1.2	0.8	0.0016295859466548552	0.0016290596593116313	0.001629998350976468	0.001631680538507049	0.0016302494515346233	0.0	0.001632621471131396	0.0016311903841589703	0.0	3.230098678176557E-4	2.5304105306467057E-4	0.0012845266473768696	4.0707876240416054E-4	2.0	0.0018610248140510026	9.840831393146388E-4	2.0
6	3	8	-8.2	-5.6	1.6	1.7999999999999998	0.8	0.0019480328495217083	0.0019488293231411237	0.0019493554708690346	0.0019535852317710393	0.0019515121841052236	0.0	0.00195411664021673	0.0019520435925509142	0.0	4.0877690004165185E-4	6.787218714678315E-4	0.00284619464726863	0.0017844823196100485	2.0	0.003118174078681671	0.0020567509836163494	2.0
6	4	8	-8.2	-5.6	2.1	2.4	0.8	0.002197993605381051	0.00220093448145374	0.0021998532571471815	0.0022078358704291233	0.0022054676937380605	0.0	0.0022067335930799426	0.0022043654163888798	0.0	0.0013370875879924592	8.457101050860429E-4	0.004467837487633371	0.0033946424638748294	2.0	0.003968458115610609	0.0028947257487723526	2.0
6	5	8	-8.2	-5.6	2.6	3.0	0.8	0.002401229982440932	0.0024067487442521133	0.0024051714336247843	0.0024156272741436263	0.002413234907525095	0.0	0.002414019136032726	0.002411626769414195	0.0	0.0022956681486721872	0.0016400840640058885	0.005977877664119472	0.004987023629223303	2.0	0.0053119385008467334	0.004320422364225054	2.0
6	6	8	-8.2	-5.6	3.1	3.5999999999999996	0.8	0.002575012836917142	0.0025782414855961113	0.002577854154183378	0.002588843231681601	0.002586604584706817	0.0	0.0025884535416879372	0.0025862148947131533	0.0	0.0012530523342750577	0.0011028102495729177	0.0053566151266535205	0.004491517616595385	2.0	0.005206078159620407	0.004340850037428085	2.0
6	7	8	-8.2	-5.6	3.6	4.2	0.8	0.0027216173035613965	0.0027237223365380986	0.002725579433633889	0.0027358090745110623	0.002733823182870266	0.0	0.0027376882307523654	0.002735702339111569	0.0	7.731502957871372E-4	0.0014547409479219542	0.005200902391166414	0.0044747548210734124	2.0	0.005887535361396133	0.005161887693011837	2.0
6	8	8	-8.2	-5.6	4.1	4.8	0.8	0.0028556363798528145	0.00285102434058602	0.0028534891662520736	0.002864369137217134	0.0028626771433745203	0.0	0.002866860153252799	0.002865168159410185	0.0	0.0016163705861384297	7.522040226303566E-4	0.003053408720763972	0.0024625314764945058	2.0	0.003922684211358844	0.003332321351639314	2.0
6	9	8	-8.2	-5.6	4.6	5.3999999999999995	0.8	0.002958916270845995	0.0029644085969271726	0.0029652449372345037	0.0029787426181167235	0.002977347190705981	0.0	0.002979638734321855	0.002978243306911112	0.0	0.0018544740340207685	0.002136561165782005	0.006678169844880373	0.006209603053961214	2.0	0.006978958166700994	0.006510532793332203	2.0
7	0	8	-9.4	-6.2	0.1	0.0	0.8	1.039278771340715E-5	1.0434134360372436E-5	1.0436122305732768E-5	1.0700069569666928E-5	1.0089056943811677E-5	0.0	1.0702108131556464E-5	1.0091095505701213E-5	0.0	0.003970499992155863	0.00416100432387462	0.02913610537784805	0.029658536589713177	2.0	0.029326565101117957	0.02945654439432693	2.0
7	1	8	-9.4	-6.2	0.6	0.6	0.8	6.32114778087168E-4	6.320056500283313E-4	6.321626214749656E-4	6.322520777664458E-4	6.320803406973169E-4	0.0	6.324091536601992E-4	6.322374165910702E-4	0.0	1.7265452944117369E-4	7.568495302406495E-5	2.1718329398172305E-4	5.4481130862492055E-5	2.0	4.655911456328279E-4	1.9399421208501252E-4	2.0
7	2	8	-9.4	-6.2	1.1	1.2	0.8	8.71182032313599E-4	8.721575407786434E-4	8.718151395596729E-4	8.730088029282178E-4	8.725313531668635E-4	0.0	8.726658412742919E-4	8.721883915129376E-4	0.0	0.0011191261646335778	7.264581449589588E-4	0.002094691220373863	0.0015476406438122607	2.0	0.0017017642228619172	0.001154498419365992	2.0
7	3	8	-9.4	-6.2	1.6	1.7999999999999998	0.8	0.0010421328275426957	0.001042039411039122	0.001042662609114699	0.001043569671769692	0.001042889552985887	0.0	0.0010441962021056168	0.0010435160833218119	0.0	8.96437461783113E-5	5.08233625887718E-4	0.0013778036200944377	7.258679333691842E-4	2.0	0.0019779953531767966	0.0013264512276352617	2.0
