Component1	Component2	Correlation
9	41	0.4265987782083795
9	42	0.45481952236868173
9	43	0.4980705778914805
9	44	0.5508241525297514
9	45	0.604273412885922
9	46	0.6489045716014388
9	47	0.6791499671374807
9	48	0.6951930789226635
9	49	0.7000000000000007
9	50	0.6952644461442705
9	51	0.6795906885539775
9	52	0.6496884611869158
9	53	0.6041702007492181
9	54	0.5472241904981909
9	55	0.4878558798967531
9	56	0.43507135960032456
9	57	0.3940753189200094
9	58	0.36565886898097544
9	59	0.34734877227220334
9	60	0.33535687078979987
9	61	0.3268812486138233
9	62	0.32097151560221865
9	63	0.3170273704226327
9	64	0.3127033141172663
9	65	0.30328704897983394
9	66	0.2844121659664949
9	67	0.25750863605579183
9	68	0.23053781232804418
9	69	0.21152062772556793
9	70	0.20328321336978816
9	71	0.20233547359524845
9	72	0.202507741115111
9	73	0.20280528864796982
9	74	0.20525017849232302
9	75	0.20193889534112391
9	76	0.17565962844865723
9	77	0.14403828892629164
9	78	0.14275385393844844
9	79	0.12425845061200332
10	0	0.5392650072439883
10	1	0.5539784101155822
10	2	0.5944410161117889
10	3	0.6571365365216405
10	4	0.7348640428754809
10	5	0.8158005529446686
10	6	0.886745485320735
10	7	0.9395143110421253
10	8	0.9737715844183282
10	9	0.9932349230632435
10	10	0.9999999999999999
10	11	0.9916729818534863
10	12	0.9626952486855488
10	13	0.9096893591480116
10	14	0.8372136472007944
10	15	0.7573642935068784
10	16	0.6829888498399614
10	17	0.6217857127467786
10	18	0.5750860950301082
10	19	0.5397026690582152
10	20	0.5112942744364947
10	21	0.4878131038576422
10	22	0.46998667818462253
10	23	0.4583555337099525
10	24	0.4501931576335237
10	25	0.43876135605005384
10	26	0.41693950989315415
10	27	0.38487502877891105
10	28	0.3518317364378971
10	29	0.3277294235437151
10	30	0.3153959025057442
10	31	0.3089700414111337
10	32	0.30076793916940614
10	33	0.29301964251081813
10	34	0.2920595180484113
10	35	0.28891420988253447
10	36	0.25873247029558155
10	37	0.22102438713738964
10	38	0.22016209081048538
10	39	0.17763548866872156
10	40	0.3774855050707918
10	41	0.3877848870809076
10	42	0.4161087112782522
10	43	0.4599955755651485
10	44	0.5144048300128368
10	45	0.5710603870612678
10	46	0.6207218397245143
10	47	0.6576600177294877
10	48	0.6816401090928297
10	49	0.6952644461442705
10	50	0.6999999999999998
10	51	0.6941710872974403
10	52	0.6738866740798841
10	53	0.6367825514036081
10	54	0.5860495530405561
10	55	0.5301550054548148
10	56	0.4780921948879731
10	57	0.435249998922745
10	58	0.4025602665210757
10	59	0.3777918683407507
10	60	0.35790599210554624
10	61	0.3414691727003496
10	62	0.3289906747292359
10	63	0.32084887359696684
10	64	0.31513521034346664
10	65	0.3071329492350377
10	66	0.29185765692520793
10	67	0.2694125201452377
10	68	0.24628221550652804
10	69	0.22941059648060047
10	70	0.2207771317540209
10	71	0.2162790289877936
10	72	0.21053755741858426
10	73	0.2051137497575727
10	74	0.20444166263388794
10	75	0.20223994691777414
10	76	0.18111272920690705
10	77	0.15471707099617266
10	78	0.15411346356733974
10	79	0.12434484206810512
11	0	0.501372451658576
11	1	0.5150238100989756
11	2	0.5534549400811832
11	3	0.6134968815598347
11	4	0.6887302426703186
11	5	0.7685008325404732
11	6	0.8407950384365048
11	7	0.8981349665035961
11	8	0.9402987470726654
11	9	0.9708438407913962
11	10	0.9916729818534863
11	11	0.9999999999999998
11	12	0.9892191342631511
11	13	0.953999319240468
11	14	0.8965464544877045
11	15	0.8272019629069326
11	16	0.758074084715127
11	17	0.6967018559222136
11	18	0.6443633833451632
11	19	0.5981331197705858
11	20	0.5550449082680009
11	21	0.515831469857531
11	22	0.4843641480095465
11	23	0.46344782349009156
11	24	0.45153531989767137
11	25	0.44217932144694133
11	26	0.4272878145221411
11	27	0.4044416298278969
11	28	0.37978713829410504
11	29	0.36082877119600165
11	30	0.34849353301978053
11	31	0.335540796020958
11	32	0.3157553697065163
11	33	0.2964816856827809
11	34	0.2890067960338607
11	35	0.2878364464052859
11	36	0.26807674583543517
11	37	0.24119920605833717
11	38	0.24188171402523798
11	39	0.1768728776876103
11	40	0.35096071616100316
11	41	0.36051666706928304
11	42	0.38741845805682823
11	43	0.4294478170918842
11	44	0.48211116986922287
11	45	0.5379505827783312
11	46	0.5885565269055533
11	47	0.6286944765525173
11	48	0.6582091229508656
11	49	0.6795906885539775
11	50	0.6941710872974403
11	51	0.7
11	52	0.6924533939842059
11	53	0.6677995234683275
11	54	0.6275825181413932
11	55	0.5790413740348528
11	56	0.5306518593005889
11	57	0.48769129914554926
11	58	0.4510543683416141
11	59	0.4186931838394101
11	60	0.3885314357876006
11	61	0.36108202890027163
11	62	0.3390549036066825
11	63	0.3244134764430641
11	64	0.31607472392836994
11	65	0.30952552501285896
11	66	0.29910147016549876
11	67	0.28310914087952777
11	68	0.26585099680587354
11	69	0.25258013983720107
11	70	0.2439454731138465
11	71	0.2348785572146706
11	72	0.22102875879456146
11	73	0.2075371799779466
11	74	0.20230475722370245
11	75	0.2014855124837
11	76	0.1876537220848046
11	77	0.16883944424083605
11	78	0.16931719981766646
11	79	0.12381101438132719
12	0	0.4772169348132568
12	1	0.48898098593852596
12	2	0.5232129795624468
12	3	0.5770573669994377
12	4	0.6449626295083509
12	5	0.7178357314747953
12	6	0.7856000313841892
12	7	0.8423519956927267
12	8	0.8886240779878991
12	9	0.9281263731241658
12	10	0.9626952486855488
12	11	0.9892191342631511
12	12	1.0
12	13	0.9874071488106146
12	14	0.950568424966223
12	15	0.8971920971895248
12	16	0.837939768770342
12	17	0.7797504002438023
12	18	0.7235747934641001
12	19	0.6665959248207988
12	20	0.6073270711344204
12	21	0.5497815457602544
12	22	0.5017172979109721
12	23	0.4688744063232536
12	24	0.45135842241746116
12	25	0.4433289234115333
12	26	0.43582543668344426
12	27	0.42358394474153604
12	28	0.40904326029290455
12	29	0.3966980686759884
12	30	0.3850881247332487
12	31	0.36521648001849677
12	32	0.33240230027381307
12	33	0.29982497364451516
12	34	0.28455520994730904
12	35	0.28528094195637477
12	36	0.277370791948269
12	37	0.26309705704674147
12	38	0.2656919553548612
12	39	0.17516864161238666
12	40	0.33405185436927964
12	41	0.3422866901569682
12	42	0.36624908569371284
12	43	0.4039401568996065
12	44	0.45147384065584556
12	45	0.5024850120323566
12	46	0.5499200219689324
12	47	0.5896463969849088
12	48	0.6220368545915295
12	49	0.6496884611869159
12	50	0.6738866740798841
12	51	0.6924533939842059
12	52	0.6999999999999998
12	53	0.69118500416743
12	54	0.6653978974763561
12	55	0.6280344680326674
12	56	0.5865578381392396
12	57	0.5458252801706616
12	58	0.50650235542487
12	59	0.46661714737455895
12	60	0.42512894979409416
12	61	0.38484708203217793
12	62	0.35120210853768047
12	63	0.3282120844262776
12	64	0.31595089569222284
12	65	0.31033024638807327
12	66	0.305077805678411
12	67	0.29650876131907516
12	68	0.28633028220503326
12	69	0.2776886480731918
12	70	0.26956168731327407
12	71	0.2556515360129478
12	72	0.23268161019166914
12	73	0.2098774815511606
12	74	0.1991886469631163
12	75	0.19969665936946238
12	76	0.1941595543637883
12	77	0.18416793993271902
12	78	0.18598436874840277
12	79	0.12261804912867064
13	0	0.46180836283822163
13	1	0.4710216825978523
13	2	0.4992654169441392
13	3	0.543968947703636
13	4	0.6004991942314901
13	5	0.6616034257225093
13	6	0.7196946077595666
13	7	0.7710850828077392
13	8	0.817526111577314
13	9	0.8631002867845975
13	10	0.9096893591480116
13	11	0.953999319240468
13	12	0.9874071488106146
13	13	0.9999999999999996
13	14	0.9875175124027408
13	15	0.9544623203880733
13	16	0.9094810566084415
13	17	0.8585164776507774
13	18	0.8019291694132116
13	19	0.736775659666131
13	20	0.6628392112975644
13	21	0.5873558479353974
13	22	0.5221332906356743
13	23	0.4761260192857771
13	24	0.4513680801166681
13	25	0.44290886427443843
13	26	0.44126893229996184
13	27	0.43866771818159556
13	28	0.4339539865400865
13	29	0.42853513985058056
13	30	0.41845595867291047
13	31	0.3928260943605478
13	32	0.3481609119306528
13	33	0.30302662291402505
13	34	0.2800192483014139
13	35	0.28193272763518523
13	36	0.2847334649158176
13	37	0.2822550035869962
13	38	0.2867898473918998
